#fields:Hanzi	Pinyin	English	HSK	Radical	Notes	Tags
色	sè	color, appearance, desire	2	色	A kneeling figure beneath a person: color as visible manifestation, and the character that links aesthetics to desire.	aesthetics culture color philosophy
山	shān	mountain, hill, sacred peak	1	山	Three peaks rising from the earth: the oldest pictograph and the axis of Chinese sacred geography.	nature geography sacred
善	shàn	goodness; virtue; skilled	4	口	The character at the heart of Mencius argument that human nature is originally good: the moral sprouts waiting to be cultivated.	ethics virtue confucianism human-nature philosophy buddhism taoism
上	shàng	above, up, to go up, to mount	1	一	The most productive spatial primitive in Chinese. 上 starts as a notch above a line and ends up meaning everything from logging on to getting addicted.	direction grammar motion
少	shǎo	few; little; young	1	小	Small with a stroke removed: the character for scarcity that doubles as the word for youth when read in falling tone.	adjectives scale grammar
神	shén	spirit; deity; divine	3	示	The character that names both the gods of Chinese folk religion and the focused attention of the human mind, because in Chinese thought they belong to the same category of phenomenon.	religion folk-religion gods philosophy taoism cosmology mind energy
生	shēng	life, birth, raw, student	1	生	A sprouting plant: life emerging from the earth. The most generative radical in Chinese.	life radical biology
十	shí	ten; complete; cross	1	十	十 is written as a cross (a vertical stroke cutting through a horizontal one), the point where all four cardinal directions meet, making ten the numeral of total completion.	language cosmology science
时	shí	time, hour, season	1	日	The sun moving: time as something visible, measurable, and morally weighted.	time daily
是	shì	to be	1	日	The copula, the cleft construction, classical 是非 right-and-wrong.	grammar copula logic
手	shǒu	hand	2	手	A five-fingered hand drawn from life: one of the most productive radicals in the script, present in hundreds of action characters.	body culture
书	shū	book, writing, letter	[object Object]	乛	Book, writing, calligraphy: the character that holds civilization together.	literacy culture calligraphy
水	shuǐ	water	1	水	The first of the five elements, the radical that runs through hundreds of compounds, and the Daoist image of how to act in the world.	radical cosmology daoism wuxing
说	shuō	to speak, to say, to explain	1	讠	To speak, say, explain, and persuade: the character at the center of all communication.	language communication rhetoric
思	sī	to think, to miss, thought	3	心	The field of the mind above the heart: thinking as cultivation, longing as thought turned inward.	mind emotion
死	sǐ	death, to die, dead, fixed	4	歹	A figure kneeling beside a corpse. The character behind the strongest verb of finality in Chinese, the bedrock of every taboo, and the intensifier that turns 累 into 累死了.	life ritual culture symbolism daily-life
他	tā	he, him; another	1	人	他 was gender-neutral for a millennium until 她 was coined in 1917 to solve a translation problem that Classical Chinese had never needed to solve.	grammar humanity social modern
她	tā	she, her	1	女	她 is the youngest character in everyday Chinese, invented in 1917 to translate "she," and the cause of one of the loudest grammatical fights in modern Chinese letters.	grammar modern social language
天	tiān	sky, heaven, day	1	大	Heaven as moral authority, weather, time, and the ground of 天命 the Mandate of Heaven.	cosmology heaven mandate
听	tīng	to listen, to hear, to obey	1	口	The simplified 听 = mouth + axe, but the traditional 聽 encodes whole-body Confucian listening: ear, eye, heart, and upright virtue arrayed together in a single glyph.	perception daily-life confucianism
图	tú	map, diagram, to plan, to seek	3	囗	A character for diagrams, maps, intentions, and plots: anything that represents the world at one remove, or seeks to reshape it.	visual planning cartography
土	tǔ	earth, soil, local, native	3	土	A mound of soil with a base: the earth phase of the Five Elements, and the root of hundreds of characters for land, construction, and cultural belonging.	cosmology culture history
万	wàn	ten thousand; myriad; all	1	一	万 is the Chinese hyperbole unit. Where English reaches for millions, Chinese reaches for 万 to express the immeasurable, because the written number 10,000 originally meant scorpion.	cosmology scale language
王	wáng	king	3	王	Three horizontals joined by one vertical: the ruler who connects heaven, earth, and humanity. Also the most common Chinese surname, and a radical that is secretly 玉 (jade) in disguise.	radical royalty history philosophy
为	wéi	to do; to act; for; because of	2	丶	In oracle bone script, a hand leading an elephant (to guide an immense force through skillful agency), and the character at the center of the Daoist concept of non-action.	grammar classical taoism philosophy daoism wuwei syntax
文	wén	writing, culture, civil	2	文	A tattooed figure: writing as marks on the body, culture as the accumulated markings of civilization.	confucianism culture history literature
我	wǒ	I, me, myself	1	戈	The character for 'I' began as a toothed bronze halberd: the assertive grip of a weapon became the grammatical mark of a self.	grammar humanity social
屋	wū	room, house, dwelling	[object Object]	尸	Room, dwelling, and the human need for shelter: the character at home.	space dwelling architecture
无	wú	nothing, without, non-being	4	无	A dancer with arms outstretched, holding nothing. The character behind every Chinese negation of having, every Daoist non-doing, and the philosophical pole that pairs with 有 to frame the whole cosmos.	daoism philosophy negation cosmology wuwei
西	xī	west; western	1	西	A bird settling into its nest at sunset: the direction that gave Chinese the word for "things" when it paired with east.	directions nature cosmology buddhism
下	xià	below, down, to descend, to issue	1	一	The mirror image of 上: a notch below the line that governs everything from going downstairs to issuing imperial decrees.	direction grammar motion
想	xiǎng	to think, to want, to miss	2	心	想 = 相 (mutual, facing) + 心 (heart): the heart turned toward something, carrying the full range from thought to desire to longing in a single gesture.	mind emotion philosophy
小	xiǎo	small, little; humble	1	小	Three minimal strokes that became the Confucian axis of moral character: the 小人 (petty person) and the 君子 (exemplary person) are the two poles every learner of classical Chinese must know.	confucianism daily-life adjectives
写	xiě	to write; to describe	1	冖	写 simplified from 寫, which shows a magpie under a roof: the bird that mimics and transmits, giving its voice to the written mark.	writing language arts calligraphy
心	xīn	heart, mind	2	心	The radical at the root of all feeling, and the Chinese conception of thought itself.	radical emotion mind
新	xīn	new; fresh; recently; novel	2	斤	Chopping fresh wood with an axe: the character whose compounds span New Year greetings, fresh produce, marriage, and the great question of what counts as modern.	adjectives change modern
信	xìn	trust, faith, credibility	2	亻	A person standing by their word: one of the most visually transparent characters in the language, and the virtue that holds every contract, conversation, and relationship together.	confucianism ethics virtue philosophy communication
行	xíng	to walk, to act, a row, a trade	[object Object]	行	One of the great polyphonic characters: xíng "to walk; to act; conduct" and háng "row; profession; firm." A pictograph of a four-way crossroads, the place where walking and the world are organized.	movement motion ethics
学	xué	to study, to learn, learning	1	子	Hands guiding a child beneath a roof: the character for learning as both action and institution.	confucianism education culture philosophy
言	yán	speech, word, language	4	言	The root of every word about words: the mouth open, the tongue moving, the speech rising.	radical language
眼	yǎn	eye, glance	2	目	The everyday word for eye, and by extension any small opening, any moment of looking, any judgment made through sight. The body-part counterpart to literary 目.	body perception measure-words
要	yào	to want, must, essential	1	女	Want, need, must, and will: the grammar engine disguised as a single character.	grammar modal
也	yě	also; too; classical particle	1	乙	A pictograph that lost its original image entirely and became one of the most load-bearing particles in classical Chinese: the gavel at the end of every verdict.	grammar particle classical syntax adverb
一	yī	one; unified; as soon as	1	一	The simplest mark a brush can make carries the heaviest philosophical weight in Chinese civilization: 道生一，一生二，the Dao generates One, and One generates everything.	cosmology philosophy taoism confucianism
以	yǐ	by means of; using; because; in order to	2	人	A classical Chinese preposition and conjunction so versatile that it anchors half the grammar of formal Chinese: the word that turns one thing into the means, standard, or cause of another.	grammar classical syntax conjunction particle literary
义	yì	righteousness, duty, justice	3	丶	The Confucian virtue of doing what is morally right, and the simplification that erased a sheep, a self, and the entire picture of what righteous form looks like.	confucianism ethics virtue philosophy
用	yòng	to use; function; expense	2	用	用 began as a pictograph of a bucket or bell (a vessel put to work) and became the character that Zhuangzi inverted in his doctrine of 无用之用: the use of uselessness.	daoism philosophy daily-life grammar
有	yǒu	to have, to exist	1	月	Possession, existence, and the have/be distinction that reshapes grammar.	grammar existence possession
右	yòu	right; to assist; to favor	2	口	A right hand raised to a mouth: the hand that feeds and speaks, whose authority in Chinese extended to favoring, protecting, and placing the highest things to the right of the seat.	direction space daily-life
雨	yǔ	rain	2	雨	The oracle bone shows rain falling from the sky: one of the most transparent pictographs in the script, and the radical that organizes all Chinese weather.	nature radical cosmology
语	yǔ	language, speech, words	2	讠	Speech radical plus the phonetic 吾 (I, me): the character for language carries the self within it, encoding the idea that language is the medium through which the self speaks to the world.	grammar culture
玉	yù	jade, precious		玉	The material of kingship and moral cultivation: three jade discs on a cord, a glyph almost identical to king, the stone that Confucius said was virtue made visible.	nature culture virtue confucianism aesthetics royalty classical
远	yuǎn	far, distant, remote	2	辶	Long robes trailing as you walk away: distance encoded in motion, and the ambivalence of far-off places in Chinese thought.	direction geography nature classical analects confucianism
月	yuè	moon, month	1	月	A crescent moon in profile, and one of the most poetically charged characters in Chinese literature.	nature radical poetry time
越	yuè	to cross over, to surpass	2	走	The character of crossing-and-exceeding: a foot-radical verb that travels from "stride over a barrier" to "the more, the more" to a Chinese state name and a national poetic gesture.	movement comparison border
云	yún	cloud	4	二	The simplified 云 is older than the traditional 雲, a rare case where the modern form recovers the ancient one.	nature cosmology classical
再	zài	again, then, further	2	冂	The adverb that sequences and repeats: again, one more time, and the subtle art of "and then."	grammar time
在	zài	to be at, located, in progress	1	土	The character that locates: a seedling rooted in earth, expanded into location, preposition, and progressive aspect.	grammar space aspect
长	cháng	long; to grow; chief	1	长	A person with flowing long hair. One character, two readings: cháng (long) and zhǎng (to grow, elder), the richest dual-reading in Mandarin.	grammar culture family
真	zhēn	real, true, genuine	2	目	Truth not as accuracy but as authenticity: the unadorned thing itself, prized in Daoist self-cultivation and in everyday emphasis.	knowing daoism philosophy virtue
之	zhī	of, going, this: the classical connective	5	丿	The most-written character in classical Chinese: a possessive particle, pronoun, and verb fossilized into pure grammar.	classical grammar particle literary
知	zhī	to know; knowledge	2	矢	知 = arrow + mouth: knowledge as the swift, target-hitting utterance, and in Wang Yangming, the act of knowing is inseparable from the act of doing.	knowing philosophy confucianism education
智	zhì	wisdom, moral intelligence	4	日	The Confucian virtue of knowing what is right to do; separately, the Buddhist prajñā that sees through the nature of things altogether.	confucianism ethics virtue philosophy buddhism
中	zhōng	middle, China, to hit the mark	1	丨	An arrow piercing through the center of a target: the character that names China as the Middle Kingdom and encodes the Confucian virtue of equilibrium.	confucianism culture history philosophy
字	zì	character, written word	1	子	The character that names itself, and the whole system of 汉字.	writing language meta
走	zǒu	to walk, to go, to leave	1	走	A figure in motion with feet below: the basic verb of movement that Chinese uses where English uses dozens of different words.	grammar culture
足	zú	foot; sufficient; enough	4	足	The foot that became the word for sufficiency, and the radical anchoring every character involving legs, running, and roads.	body motion radical
左	zuǒ	left; unorthodox; to assist	2	工	A left hand holding a carpenter's square: the assisting hand at the ruler, and by extension the word for unorthodox, heterodox, and everything that deviates from the orthodox path.	direction space daily-life
